SampleID,Country,Latitude,Longitude,pc1,pc2,pc3
SAMP1256,Bolivia,"20°49'30.1""S","64°56'39.7""W",-5.595688619,0.331459264,1.089134632
SAMP1257,Bolivia,"20°49'31.3""S","64°56'35.4""W",-4.338938722,0.107703762,0.355454908
SAMP1258,Bolivia,"20°49'31.3""S","64°56'35.4""W",-3.62115056,0.336721402,2.005732064
SAMP1264,Bolivia,"21°31'37.4""S","64°10'28.4""W",-5.583645216,0.376964151,0.669203616
SAMP1265,Bolivia,"21°31'37.4""S","64°10'28.4""W",-4.470828078,-0.343310101,1.62538435
SAMP1266,Bolivia,"21°31'37.4""S","64°10'28.4""W",-4.658867312,-0.427726495,2.019719167
SAMP1270,Bolivia,"19°48'21.9""S","63°59'46.7""W",-5.029629363,0.337351732,0.22836277
SAMP1271,Bolivia,"20°19'05.4""S","64°11'07.1""W",-3.587503937,0.414201938,1.076942343
SAMP1272,Bolivia,"20°19'05.4""S","64°11'07.1""W",-4.094007797,0.939343389,0.670473593
SAMP1273,Bolivia,"17°42'59.4""S","65°53'00.5""W",-5.708436425,1.517956987,2.660041493
SAMP1274,Bolivia,"17°42'59.4""S","65°53'00.5""W",-5.327243526,1.01807323,0.499952405
SAMP1275,Bolivia,"19°37'52.5""S","64°22'17.3""W",-5.1536102,0.394606141,0.985618148
SAMP1276,Bolivia,"19°37'52.5""S","64°22'17.3""W",-5.122268327,1.252297713,1.543936288
SAMP1277,Bolivia,"19°48'31.7""S","63°58'27.4""W",-5.989806324,0.032860747,-0.098906346
SAMP1278,Bolivia,"19°48'31.7""S","63°58'27.4""W",-5.417954847,0.930262595,2.358789859
SAMP1279,Bolivia,"19°09'23.9""S","65°16'03.5""W",-3.729549017,1.207778114,1.876496997
SAMP1280,Bolivia,"19°09'23.9""S","65°16'03.5""W",-4.621522685,0.43359973,0.512305289
SAMP1281,Bolivia,"19°48'31.7""S","63°58'27.4""W",-5.321055313,0.522539236,0.556126081
SAMP1282,Bolivia,"19°48'31.7""S","63°58'27.4""W",-5.287108986,0.805473479,1.136507143
SAMP1283,Bolivia,"15°35'02.2""S","67°14'51.3""W",-5.889294596,0.67590457,1.455930662
SAMP1284,Bolivia,"15°35'02.2""S","67°14'51.3""W",-6.076283798,0.053807378,-0.616075859
